state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
MA,2013-07-01,3659676.083,0.0,110256.067,499580.0,174735.037,9322.696,10378.188,6720448,13.53,13.222499999999998,12.952272727272726,14.163636363636362
MA,2013-08-01,2846653.25,0.0,52432.288,380750.0,175448.834,11170.321,11165.666,6724467,13.753636363636362,13.194545454545453,12.831136363636363,14.937045454545455
MA,2013-09-01,2077982.911,0.0,62761.877,327986.0,171121.942,11091.025,12472.757,6728487,13.557954545454546,12.980227272727271,12.682045454545452,14.853181818181817
MA,2013-10-01,1974202.026,0.0,40799.217,386722.0,185903.192,12745.471,17499.724,6732506,13.045454545454545,12.719318181818181,11.684999999999999,14.666818181818181
MA,2013-11-01,1633480.106,0.0,72792.469,486474.0,171966.773,10450.671,23803.858,6736525,13.287727272727272,12.980227272727271,11.573181818181817,15.039545454545454
MA,2013-12-01,1715372.219,0.0,85142.956,441206.0,177330.129,12548.715,24891.199,6740544,15.859545454545453,15.300454545454546,12.504999999999999,18.636363636363637
MD,2013-01-01,1489143.094,0.0,195863.647,1326175.0,70504.396,2228.75,35774.0,5898017,10.455,9.588409090909089,7.6036363636363635,11.647727272727272
MD,2013-02-01,1268068.271,0.0,184016.159,950117.0,68467.685,3513.386,38514.0,5901381,10.501590909090908,9.672272727272727,7.687499999999999,11.657045454545454
MD,2013-03-01,1499488.138,0.0,202882.914,784587.0,70977.033,4542.783,36007.0,5904745,10.427045454545453,9.551136363636363,7.883181818181819,11.703636363636363
MD,2013-04-01,957208.6900000001,0.0,228667.311,1283601.0,60742.556,3897.978,34212.0,5908109,10.399090909090908,9.523181818181818,7.994999999999999,11.908636363636361
MD,2013-05-01,1252276.265,0.0,133088.623,1094820.0,68852.701,5730.587,32537.0,5911473,10.389772727272726,9.64431818181818,7.622272727272726,12.011136363636364
MD,2013-06-01,1892726.388,0.0,136421.936,1249816.0,79682.365,5786.063,15692.0,5914837,11.153863636363637,10.156818181818181,7.827272727272727,13.026818181818182
MD,2013-07-01,2473598.831,0.0,162770.353,1262218.0,82472.651,5398.323,13019.0,5918201,11.200454545454544,10.110227272727272,8.060227272727273,12.793863636363636
MD,2013-08-01,1601645.861,0.0,73021.914,1258216.0,84813.272,4904.785,11577.0,5921565,11.386818181818182,10.417727272727271,7.855227272727272,12.97090909090909
MD,2013-09-01,1524707.132,0.0,53253.742,1140152.0,66467.44900000001,9081.814,11769.0,5924929,11.274999999999999,10.305909090909092,7.855227272727272,12.989545454545453
MD,2013-10-01,1549481.247,0.0,83841.971,1306577.0,73974.61,7942.455,18887.0,5928292,11.060681818181816,10.277954545454545,7.771363636363636,12.756590909090908
MD,2013-11-01,1422072.237,0.0,76607.258,1279188.0,68159.83499999999,5685.245,38753.0,5931656,10.827727272727271,10.007727272727273,7.5011363636363635,12.262727272727272
MD,2013-12-01,1685195.348,0.0,196584.172,1328838.0,63605.919,4773.221,34929.0,5935020,11.097954545454545,10.082272727272727,7.855227272727272,12.514318181818181
ME,2013-01-01,584187.429,0.0,332774.803,0.0,365186.074,0.0,106209.363,1338843,11.554545454545455,11.247045454545454,8.405,13.47409090909091
ME,2013-02-01,401109.987,0.0,314193.289,0.0,343403.32,0.0,88795.495,1339127,12.076363636363636,11.843409090909091,9.68159090909091,13.604545454545454
ME,2013-03-01,429462.242,0.0,332217.017,0.0,364777.256,0.0,100380.392,1339410,11.349545454545453,11.153863636363637,8.675227272727273,13.23181818181818
ME,2013-04-01,372908.786,0.0,313774.26,0.0,244611.117,0.0,97548.583,1339693,10.641363636363636,10.753181818181817,7.3986363636363635,13.241136363636363
